index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
143,שברולט ספארק PREMIER,2020,1399 ליטר בנזין,"19,000",1,אוטומטי,שחור,פרטית,4 חודשים,"‏1,235 ₪",79500
144,סאנגיונג רודיוס DLX,2006,2696 ליטר דיזל,"455,000",2,אוטומטי,כסף מטלי,פרטית,5 חודשים,"‏1,427 ₪",19000
145,קיה פיקנטו EX,2014,1248 ליטר בנזין,"78,000",3,אוטומטי,בז,פרטית,4 חודשים,‏985 ₪,41500
146,יונדאי I25 INSPIRE,2017,1368 ליטר בנזין,"120,000",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,353 ₪",59900
147,יונדאי I25 INSPIRE,2017,1368 ליטר בנזין,"120,000",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,353 ₪",59900
148,סוזוקי ויטארה GLXV 2T,2017,1586 ליטר בנזין,"70,500",1,אוטומטי,טורקיז,פרטית,11 חודשים,"‏1,604 ₪",88000
149,דייהטסו טריוס SX,2007,1495 ליטר בנזין,"185,000",2,אוטומטי,כסף מטלי,פרטית,10 חודשים,"‏1,262 ₪",32000
150,מאזדה 3,2010,1999 ליטר בנזין,"169,000",2,אוטומטי,טורקיז מטאלי,פרטית,5 חודשים,"‏1,369 ₪",31900
151,מאזדה 3,2010,1999 ליטר בנזין,"169,000",2,אוטומטי,טורקיז מטאלי,פרטית,5 חודשים,"‏1,369 ₪",31900
152,סקודה אוקטביה AMBITION,2014,1395 ליטר בנזין,"180,000",2,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,424 ₪",58000
153,סקודה ראפיד ELEGANCE,2014,1390 ליטר בנזין,"170,000",1,אוטומטי,שחור,פרטית,3 חודשים,"‏1,424 ₪",40000
154,סקודה ראפיד ELEGANCE,2014,1390 ליטר בנזין,"170,000",1,אוטומטי,שחור,פרטית,3 חודשים,"‏1,424 ₪",40000
155,סיטרואן ברלינגו COMFORT PLUS,2018,1560 ליטר דיזל,"140,310",1,ידני,לבן,ליסינג,8 חודשים,"‏1,604 ₪",65900
156,קיה נירו EX,2018,1580 ליטר בנזין,"81,618",1,אוטומטי,אפור,ליסינג,3 חודשים,"‏1,604 ₪",104900
157,דאצ'יה דאסטר LAUREATE,2018,1461 ליטר דיזל,"125,000",1,אוטומטי,לבן,ליסינג,4 חודשים,"‏1,102 ₪",64900
158,טויוטה לנד קרוזר REGULAR,2008,2982 ליטר דיזל,"234,000",4,אוטומטי,לבן,פרטית,1 חודשים,"‏1,726 ₪",137900
159,טויוטה לנד קרוזר REGULAR,2008,2982 ליטר דיזל,"234,000",4,אוטומטי,לבן,פרטית,1 חודשים,"‏1,726 ₪",137900
160,קיה פיקנטו LX,2021,1248 ליטר בנזין,"15,329",1,אוטומטי,כסף,ליסינג,11 חודשים,"‏1,235 ₪",73000
161,רנו מגאן ZEN,2020,1461 ליטר דיזל,"44,000",1,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,811 ₪",95000
162,טויוטה קורולה SUN,2014,1598 ליטר בנזין,"170,000",2,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,424 ₪",52900
163,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"57,412",1,אוטומטי,אפור,ליסינג,2 חודשים,"‏1,811 ₪",100900
164,סמארט FOR TWO LAUNCH EDITI,2016,898 ליטר בנזין,"127,000",1,אוטומטי,אפור,פרטית,4 חודשים,"‏1,353 ₪",62900
165,מיני קופר S CHILLI,2018,1998 ליטר בנזין,"44,000",1,אוטומטי,קרם,ליסינג,5 חודשים,"‏2,563 ₪",182000
166,פולקסווגן גולף ENJOY,2014,1197 ליטר בנזין,"130,000",2,אוטומטי,אפור בהיר מטלי,פרטית,9 חודשים,"‏1,424 ₪",55000
167,סקודה אוקטביה AMBITION,2019,999 ליטר בנזין,"108,426",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",85900
168,קאדילאק SRX LUXURY,2013,3564 ליטר בנזין,"140,000",2,אוטומטי,כסף מטלי,פרטית,9 חודשים,"‏2,397 ₪",85900
169,קאדילאק SRX LUXURY,2013,3564 ליטר בנזין,"140,000",2,אוטומטי,כסף מטלי,פרטית,9 חודשים,"‏2,397 ₪",85900
170,ב.מ.וו X1 SDRIVE 18I BUSINESS,2022,1499 ליטר בנזין,0,1,אוטומטי,לבן,חברה,11 חודשים,"‏3,366 ₪",266355
171,אופל מריבה ENJOY,2015,1364 ליטר בנזין,"147,000",3,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,205 ₪",28900
172,אופל מריבה ENJOY,2015,1364 ליטר בנזין,"147,000",3,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,205 ₪",28900
173,אופל מריבה ENJOY,2015,1364 ליטר בנזין,"147,000",3,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,205 ₪",28900
174,יונדאי I30 INSPIRE,2013,1591 ליטר בנזין,"198,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏1,424 ₪",36000
175,שברולט טרוורס PREMIER,2018,3564 ליטר בנזין,"75,000",2,אוטומטי,שחור,פרטית,2 חודשים,"‏3,357 ₪",235000
176,שברולט טרוורס PREMIER,2018,3564 ליטר בנזין,"75,000",2,אוטומטי,שחור,פרטית,2 חודשים,"‏3,357 ₪",235000
177,רנו קליאו LIFE,2017,1197 ליטר בנזין,"123,000",3,אוטומטי,אפור כהה מטלי,ליסינג,4 חודשים,"‏1,102 ₪",46000
178,רנו קליאו LIFE,2017,1197 ליטר בנזין,"123,000",3,אוטומטי,אפור כהה מטלי,ליסינג,4 חודשים,"‏1,102 ₪",46000
179,יונדאי פליסייד LIMITED,2021,3778 ליטר בנזין,"8,000",1,אוטומטי,לבן,פרטית,5 חודשים,"‏4,731 ₪",311000
180,יונדאי פליסייד LIMITED,2021,3778 ליטר בנזין,"8,000",1,אוטומטי,לבן,פרטית,5 חודשים,"‏4,731 ₪",311000
181,ב.מ.וו X1 SDRIVE 18I BUSINESS,2022,1499 ליטר בנזין,1,1,אוטומטי,כסף,פרטית,11 חודשים,"‏3,366 ₪",264355
182,ב.מ.וו X1 SDRIVE 18I BUSINESS,2022,1499 ליטר בנזין,1,1,אוטומטי,לבן,פרטית,11 חודשים,"‏3,366 ₪",264355
183,שברולט טראקס LS,2014,1796 ליטר בנזין,"148,000",3,אוטומטי,שחור מטלי,ליסינג,4 חודשים,"‏1,424 ₪",35900
184,שברולט טראקס LS,2014,1796 ליטר בנזין,"148,000",3,אוטומטי,שחור מטלי,ליסינג,4 חודשים,"‏1,424 ₪",35900
185,רנו קליאו EX PACK PLUS,2016,1197 ליטר בנזין,"140,000",2,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,353 ₪",35900
186,קיה קרניבל EX,2018,3342 ליטר בנזין,"162,000",1,אוטומטי,אפור,ליסינג,5 חודשים,"‏2,563 ₪",160000
