index,version,year,engine,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,price
422,שברולט קפטיבה LT,2010,1991 ליטר דיזל,"248,000",4,אוטומטי,בז מטאלי,פרטית,8 חודשים,"‏1,508 ₪",29900
423,פורשה מקאן S LUXURY,2015,2997 ליטר בנזין,"60,000",1,אוטומטי,כסוף כהה מטלי,פרטית,4 חודשים,"‏2,397 ₪",295000
424,פורשה מקאן S LUXURY,2015,2997 ליטר בנזין,"60,000",1,אוטומטי,כסוף כהה מטלי,פרטית,4 חודשים,"‏2,397 ₪",295000
425,טויוטה קורולה SUN,2019,1798 ליטר בנזין,"113,396",1,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,811 ₪",105000
426,SERES E3 EV,2021,חשמלי,"7,000",2,אוטומטי,לבן,פרטית,4 חודשים,"‏1,811 ₪",134000
427,מרצדס CLS קלאס CLS350 COUPE,2014,3498 ליטר בנזין,"176,000",1,אוטומטי,לבן,פרטית,2 חודשים,"‏2,397 ₪",190000
428,פיג'ו 2008 ACTIVE GO,2019,1199 ליטר בנזין,"86,100",1,אוטומטי,לבן,ליסינג,1 חודשים,"‏1,529 ₪",85488
429,איסוזו D-Max S,2014,2499 ליטר דיזל,"380,000",3,אוטומטי,שחור,פרטית,2 חודשים,"‏1,962 ₪",112000
430,ניסאן X TRAIL ACENTA,2018,1598 ליטר דיזל,"135,000",2,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏2,019 ₪",113900
431,ניסאן X TRAIL ACENTA,2018,1598 ליטר דיזל,"135,000",2,אוטומטי,שחור מטלי,פרטית,3 חודשים,"‏2,019 ₪",113900
432,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"194,165",1,אוטומטי,כסוף,ליסינג,4 חודשים,"‏1,102 ₪",37460
433,פורד מוסטנג GT PREMIUM,2021,5038 ליטר בנזין,"13,000",1,אוטומטי,לבן,פרטית,3 חודשים,"‏3,366 ₪",400000
434,פורד מוסטנג GT PREMIUM,2021,5038 ליטר בנזין,"13,000",1,אוטומטי,לבן,פרטית,3 חודשים,"‏3,366 ₪",400000
435,מרצדס GLC 350E PREMIUM DS E,2017,1991 ליטר חשמל/בנזין,"94,000",2,אוטומטי,לבן,פרטית,6 חודשים,"‏3,357 ₪",269000
436,מרצדס GLE 350D 4MATIC COUPE AMG SB,2019,2987 ליטר דיזל,"70,000",1,אוטומטי,לבן,פרטית,5 חודשים,"‏4,731 ₪",500000
437,מרצדס GLE 350D 4MATIC COUPE AMG SB,2019,2987 ליטר דיזל,"70,000",1,אוטומטי,לבן,פרטית,5 חודשים,"‏4,731 ₪",500000
438,קיה נירו EX,2017,1580 ליטר בנזין,"135,000",1,אוטומטי,שחור,השכרה,1 חודשים,"‏1,604 ₪",82900
439,ניסאן X TRAIL VISIA,2016,1598 ליטר דיזל,"98,000",1,אוטומטי,לבן,פרטית,8 חודשים,"‏2,019 ₪",109900
440,ב.מ.וו X1 XDRIVE25E M-SPORT,2021,1499 ליטר חשמל/בנזין,0,1,אוטומטי,לבן,פרטית,6 חודשים,"‏4,731 ₪",324661
441,פורד פוקוס TREND,2016,1498 ליטר בנזין,"133,000",2,אוטומטי,שחור מטלי,ליסינג,2 חודשים,"‏1,604 ₪",36000
442,סיטרואן C3 PICASSO COMFORT,2017,1560 ליטר דיזל,"117,000",3,ידני,לבן,פרטית,5 חודשים,"‏1,102 ₪",40000
443,סיטרואן C3 PICASSO COMFORT,2017,1560 ליטר דיזל,"117,000",3,ידני,לבן,פרטית,5 חודשים,"‏1,102 ₪",40000
444,סיטרואן C3 PICASSO COMFORT,2017,1560 ליטר דיזל,"117,000",3,ידני,לבן,פרטית,5 חודשים,"‏1,102 ₪",40000
445,מרצדס A קלאס A180 URBAN,2017,1595 ליטר בנזין,"97,000",2,אוטומטי,שחור,פרטית,3 חודשים,"‏2,563 ₪",128900
446,מיני קופר PURE LED,2015,1499 ליטר בנזין,"98,000",2,אוטומטי,קרם,פרטית,3 חודשים,"‏1,962 ₪",89900
447,פולקסווגן ג'טה TRENDLINE,2012,1197 ליטר בנזין,"147,000",2,אוטומטי,לבן,פרטית,2 חודשים,"‏1,424 ₪",38900
448,קיה פיקנטו LX,2018,1248 ליטר בנזין,"128,316",1,אוטומטי,כסוף,ליסינג,5 חודשים,"‏1,102 ₪",61724
449,אלפא רומיאו מיטו SPRINT,2013,1368 ליטר בנזין,"91,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏1,584 ₪",47000
450,אלפא רומיאו מיטו SPRINT,2013,1368 ליטר בנזין,"91,000",2,אוטומטי,לבן,פרטית,5 חודשים,"‏1,584 ₪",47000
451,מיצובישי אאוטלנדר INSTYLE,2013,1998 ליטר בנזין,"185,000",3,אוטומטי,אפור,פרטית,9 חודשים,"‏1,693 ₪",69000
452,יונדאי סנטה פה ELITE,2016,2359 ליטר בנזין,"50,000",1,אוטומטי,שחור,פרטית,1 חודשים,"‏2,563 ₪",154000
453,יונדאי I30 PREMIUM,2016,1591 ליטר בנזין,"140,000",3,אוטומטי,לבן,פרטית,1 חודשים,"‏1,604 ₪",60000
454,סקודה קארוק AMBITION,2018,999 ליטר בנזין,"143,000",1,אוטומטי,אפור בהיר מטלי,פרטית,6 חודשים,"‏1,604 ₪",110000
455,רנו מגאן ZEN SRF,2019,1461 ליטר דיזל,"36,200",1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,811 ₪",112400
456,רנו מגאן ZEN SRF,2019,1461 ליטר דיזל,"36,200",1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,811 ₪",112400
457,ג'יפ גראנד צ'ירוקי LAREDO,2017,2987 ליטר דיזל,"177,000",1,אוטומטי,לבן,פרטית,6 חודשים,"‏3,357 ₪",216000
458,ג'יפ גראנד צ'ירוקי LAREDO,2017,2987 ליטר דיזל,"177,000",1,אוטומטי,לבן,פרטית,6 חודשים,"‏3,357 ₪",216000
459,שברולט סוניק LT,2017,1398 ליטר בנזין,"79,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏1,353 ₪",40000
460,ניסאן קשקאי ACENTA,2010,1997 ליטר בנזין,"193,000",3,אוטומטי,כחול כהה,פרטית,11 חודשים,"‏1,427 ₪",34500
461,ניסאן קשקאי ACENTA,2010,1997 ליטר בנזין,"193,000",3,אוטומטי,כחול כהה,פרטית,11 חודשים,"‏1,427 ₪",34500
462,ניסאן קשקאי ACENTA,2010,1997 ליטר בנזין,"193,000",3,אוטומטי,כחול כהה,פרטית,11 חודשים,"‏1,427 ₪",34500
463,איסוזו D-Max LS PREMIUM,2021,1898 ליטר דיזל,100,1,אוטומטי,לבן,ליסינג,6 חודשים,"‏3,366 ₪",265000
464,ב.מ.וו X4 XDRIVE 20D SPORT,2015,1995 ליטר דיזל,"81,000",4,ידני,לבן,פרטית,4 חודשים,"‏2,397 ₪",151000
465,מאזדה 5 EXECUTIVE,2010,1999 ליטר בנזין,"192,000",2,אוטומטי,כחול,ליסינג,5 חודשים,"‏1,427 ₪",33000
466,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"123,262",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",47510
467,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"123,262",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",47510
468,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"123,262",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",47510
469,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"123,262",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",47510
470,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"123,262",1,אוטומטי,אדום,השכרה,11 חודשים,"‏1,102 ₪",47510
471,סקודה סופרב STYLE,2018,1798 ליטר בנזין,"126,000",1,אוטומטי,כסף מטלי,ליסינג,8 חודשים,"‏2,019 ₪",125500
472,מיצובישי אאוטלנדר INSTYLE,2018,1998 ליטר בנזין,"59,000",2,אוטומטי,לבן,פרטית,3 חודשים,"‏2,019 ₪",125000
473,לקסוס IS 300H PREMIUM 2,2017,2494 ליטר בנזין,"118,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏2,563 ₪",136000
474,אאודי Q5 OFF ROAD,2018,1968 ליטר דיזל,"100,000",2,אוטומטי,לבן,פרטית,1 חודשים,"‏3,357 ₪",245000
475,אאודי Q5 OFF ROAD,2018,1968 ליטר דיזל,"100,000",2,אוטומטי,לבן,פרטית,1 חודשים,"‏3,357 ₪",245000
476,ב.מ.וו X2 SDRIVE 18I VIBE,2021,1499 ליטר בנזין,0,1,אוטומטי,שחור,פרטית,2 חודשים,"‏3,366 ₪",250000
477,ב.מ.וו X2 SDRIVE 18I VIBE,2021,1499 ליטר בנזין,0,1,אוטומטי,שחור,פרטית,2 חודשים,"‏3,366 ₪",250000
478,פיג'ו 208 ACCESS,2017,1199 ליטר בנזין,"109,000",1,אוטומטי,אפור כהה,השכרה,1 חודשים,"‏1,102 ₪",42000
479,סקודה ראפיד AMBITION,2018,999 ליטר בנזין,"141,000",1,אוטומטי,כסף מטלי,ליסינג,2 חודשים,"‏1,353 ₪",56000
480,מרצדס E קלאס E300 E EDITION SB E,2019,1991 ליטר חשמל/בנזין,"54,000",2,אוטומטי,שחור,פרטית,6 חודשים,"‏4,731 ₪",299900
481,סקודה קודיאק AMBITION,2017,1395 ליטר בנזין,"118,000",1,אוטומטי,כסף מטלי,פרטית,6 חודשים,"‏2,019 ₪",128000
482,מרצדס CLA קלאס CLA180,2020,1332 ליטר בנזין,"20,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",250000
483,מרצדס CLA קלאס CLA180,2020,1332 ליטר בנזין,"20,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",250000
484,מרצדס CLA קלאס CLA180,2020,1332 ליטר בנזין,"20,000",1,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",250000
485,פולקסווגן גולף GTI,2014,1984 ליטר בנזין,"154,390",2,אוטומטי,שחור מטלי,פרטית,4 חודשים,"‏1,962 ₪",120000
486,סקודה קארוק EXCLUSIVE,2018,1498 ליטר בנזין,"85,000",1,אוטומטי,אפור כהה,פרטית,6 חודשים,"‏2,019 ₪",154000
487,פיג'ו 301 ACTIVE,2015,1199 ליטר בנזין,"141,000",2,אוטומטי,לבן,ליסינג,4 חודשים,‏985 ₪,23000
488,ב.מ.וו סדרה 7 745LE M SPORT,2021,2998 ליטר חשמל/בנזין,"11,000",2,אוטומטי,לבן,פרטית,10 חודשים,"‏4,731 ₪",620000
489,ב.מ.וו סדרה 7 745LE M SPORT,2021,2998 ליטר חשמל/בנזין,"11,000",2,אוטומטי,לבן,פרטית,10 חודשים,"‏4,731 ₪",620000
490,יונדאי סונטה HYBRID LIMITED,2016,1999 ליטר בנזין,"160,000",2,אוטומטי,אפור מטל,ליסינג,4 חודשים,"‏2,019 ₪",100000
491,ב.מ.וו סדרה 5 530E M-SUPERIOR,2021,1998 ליטר חשמל/בנזין,0,1,אוטומטי,שחור,ליסינג,3 חודשים,"‏4,731 ₪",554900
492,קיה פיקנטו SPORT,2015,1248 ליטר בנזין,"128,000",2,ידני,לבן,פרטית,3 חודשים,‏985 ₪,41900
493,ניסאן סנטרה SR,2019,1798 ליטר בנזין,"99,000",1,אוטומטי,לבן,השכרה,2 חודשים,"‏1,811 ₪",75000
494,סקודה אוקטביה AMBITION,2016,1395 ליטר בנזין,"140,630",2,אוטומטי,קפה מטאלי,ליסינג,2 חודשים,"‏1,604 ₪",68000
495,סקודה אוקטביה AMBITION,2016,1395 ליטר בנזין,"140,630",2,אוטומטי,קפה מטאלי,ליסינג,2 חודשים,"‏1,604 ₪",68000
496,מיצובישי L-200 DAKAR,2021,2268 ליטר דיזל,0,1,אוטומטי,שחור,פרטית,6 חודשים,"‏3,366 ₪",255000
497,סוזוקי גרנד ויטרה JLX,2008,1995 ליטר בנזין,"298,000",5,אוטומטי,בז,פרטית,7 חודשים,"‏1,427 ₪",40000
498,ב.מ.וו X1 SDRIVE 18I BUSINESS,2020,1499 ליטר בנזין,"18,000",3,אוטומטי,לבן,פרטית,4 חודשים,"‏3,366 ₪",225000
499,אאודי TT DESIGN,2019,1984 ליטר בנזין,"50,000",1,אוטומטי,לבן,פרטית,10 חודשים,"‏4,731 ₪",255000
500,קיה פורטה LX,2015,1591 ליטר בנזין,"149,000",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,424 ₪",44000
501,יונדאי טוסון PANORAMIC,2018,1999 ליטר בנזין,"182,000",1,אוטומטי,לבן,ליסינג,12 חודשים,"‏1,835 ₪",110000
502,מרצדס E קלאס E300 E AMG EDITION,2021,1991 ליטר חשמל/בנזין,"20,000",1,אוטומטי,שחור,פרטית,2 חודשים,"‏4,731 ₪",380000
503,מרצדס E קלאס E300 E AMG EDITION,2021,1991 ליטר חשמל/בנזין,"20,000",1,אוטומטי,שחור,פרטית,2 חודשים,"‏4,731 ₪",380000
504,אאודי A3 SHARP SPR,2017,1984 ליטר בנזין,"65,000",1,אוטומטי,לבן,פרטית,5 חודשים,"‏2,563 ₪",152000
505,טויוטה אוריס HYBRID TS TSS,2018,1798 ליטר בנזין,"141,000",1,אוטומטי,כסף מטלי,ליסינג,3 חודשים,"‏1,604 ₪",77500
506,פיאט 500 1.2 CONVERTIBILE,2011,1242 ליטר בנזין,"147,000",1,ידני,שחור,פרטית,4 חודשים,"‏1,262 ₪",25000
507,פולקסווגן פאסאט COMFORTLINE,2011,1798 ליטר בנזין,"80,000",3,אוטומטי,אפור מטל,פרטית,1 חודשים,"‏1,427 ₪",42900
508,פולקסווגן פאסאט COMFORTLINE,2011,1798 ליטר בנזין,"80,000",3,אוטומטי,אפור מטל,פרטית,1 חודשים,"‏1,427 ₪",42900
509,שברולט אימפלה LTZ,2017,3564 ליטר בנזין,"85,000",2,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,563 ₪",129000
510,שברולט אימפלה LTZ,2017,3564 ליטר בנזין,"85,000",2,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,563 ₪",129000
511,שברולט אימפלה LTZ,2017,3564 ליטר בנזין,"85,000",2,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,563 ₪",129000
512,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,כסף מטלי,פרטית,2 חודשים,"‏1,235 ₪",83500
513,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,כסף מטלי,פרטית,2 חודשים,"‏1,235 ₪",83500
514,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
515,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
516,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
517,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
518,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
519,קיה פיקנטו LX,2021,1248 ליטר בנזין,0,1,אוטומטי,לבן,פרטית,2 חודשים,"‏1,235 ₪",83500
520,מרצדס S קלאס S 560 E AMG,2021,2996 ליטר חשמל/בנזין,"15,000",2,אוטומטי,שחור,ליסינג,1 חודשים,"‏4,731 ₪",799000
521,טויוטה קורולה סטיישן SPACE,2019,1798 ליטר בנזין,"92,000",1,אוטומטי,כסף מטלי,ליסינג,4 חודשים,"‏1,811 ₪",93000
522,טויוטה קורולה סטיישן SPACE,2019,1798 ליטר בנזין,"92,000",1,אוטומטי,כסף מטלי,ליסינג,4 חודשים,"‏1,811 ₪",93000
523,טויוטה קורולה סטיישן SPACE,2019,1798 ליטר בנזין,"92,000",1,אוטומטי,כסף מטלי,ליסינג,4 חודשים,"‏1,811 ₪",93000
524,קיה ספורטז' TURBO TOP,2021,1591 ליטר בנזין,0,1,אוטומטי,לבן,חברה,2 חודשים,"‏2,130 ₪",168000
525,ב.מ.וו סדרה 5 530E M-SUPERIOR,2021,1998 ליטר חשמל/בנזין,0,1,אוטומטי,שחור,ליסינג,3 חודשים,"‏4,731 ₪",550000
526,ב.מ.וו סדרה 5 530E M-SUPERIOR,2021,1998 ליטר חשמל/בנזין,0,1,אוטומטי,שחור,ליסינג,3 חודשים,"‏4,731 ₪",550000
527,ב.מ.וו סדרה 5 530E M-SUPERIOR,2021,1998 ליטר חשמל/בנזין,0,1,אוטומטי,שחור,ליסינג,3 חודשים,"‏4,731 ₪",550000
528,ב.מ.וו סדרה 3 318I BUSINESS,2021,1998 ליטר בנזין,0,1,אוטומטי,שחור,ליסינג,1 חודשים,"‏3,366 ₪",250000
529,מאזדה 3,2021,1998 ליטר בנזין,0,1,אוטומטי,לבן,ליסינג,1 חודשים,"‏2,130 ₪",144000
530,קיה פיקנטו EX,2018,1248 ליטר בנזין,"46,000",1,אוטומטי,אדום,פרטית,11 חודשים,"‏1,102 ₪",64000
531,קיה פיקנטו EX,2018,1248 ליטר בנזין,"46,000",1,אוטומטי,אדום,פרטית,11 חודשים,"‏1,102 ₪",64000
532,קיה סטוניק LX,2020,1368 ליטר בנזין,"48,722",1,אוטומטי,שחור,פרטית,7 חודשים,"‏1,529 ₪",99900
533,ב.מ.וו סדרה 5 530E iPERFORMANCE BUSINESS,2020,1998 ליטר חשמל/בנזין,"16,000",2,אוטומטי,לבן,פרטית,7 חודשים,"‏4,731 ₪",285000
534,יונדאי I35 INSPIRE,2014,1591 ליטר בנזין,"130,000",3,אוטומטי,כחול פנינה,ליסינג,3 חודשים,"‏1,424 ₪",49500
535,יונדאי I35 INSPIRE,2014,1591 ליטר בנזין,"130,000",3,אוטומטי,כחול פנינה,ליסינג,3 חודשים,"‏1,424 ₪",49500
536,טויוטה אוריס HYBRID TS,2019,1798 ליטר בנזין,"119,000",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",82900
537,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"138,000",1,אוטומטי,לבן,ליסינג,10 חודשים,"‏1,811 ₪",92900
538,סקודה קארוק STYLE,2019,1498 ליטר בנזין,"94,165",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏2,130 ₪",126900
539,סקודה קארוק STYLE,2019,1498 ליטר בנזין,"94,165",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏2,130 ₪",126900
540,פורד אדג' TITANIUM,2018,1999 ליטר בנזין,"90,000",2,אוטומטי,שחור,ליסינג,11 חודשים,"‏2,563 ₪",159000
541,הונדה ג'אז TREND,2019,1318 ליטר בנזין,"76,738",1,אוטומטי,אפור,ליסינג,10 חודשים,"‏1,529 ₪",88000
542,מאזדה CX-5 EXECUTIVE,2015,1998 ליטר בנזין,"117,000",2,אוטומטי,לבן,ליסינג,8 חודשים,"‏1,693 ₪",84000
543,טויוטה קורולה SUN,2018,1598 ליטר בנזין,"169,000",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",80000
544,טויוטה קורולה SUN,2018,1598 ליטר בנזין,"169,000",1,אוטומטי,לבן,ליסינג,11 חודשים,"‏1,604 ₪",80000
545,פולקסווגן גולף TRENDLINE,2017,1395 ליטר בנזין,"132,000",1,אוטומטי,לבן,השכרה,3 חודשים,"‏1,604 ₪",68500
546,קיה פיקנטו EX,2018,1248 ליטר בנזין,"74,000",1,אוטומטי,לבן,השכרה,8 חודשים,"‏1,102 ₪",63000
547,סוזוקי בלנו GLX,2018,1242 ליטר בנזין,"36,523",1,אוטומטי,לבן,פרטית,8 חודשים,"‏1,102 ₪",84900
548,שברולט טרוורס LS,2018,3564 ליטר בנזין,"83,000",2,אוטומטי,כסוף מטאלי,פרטית,1 חודשים,"‏2,563 ₪",169000
549,איסוזו D-Max S,2014,2499 ליטר דיזל,"170,000",2,ידני,לבן,פרטית,2 חודשים,"‏1,962 ₪",111500
550,יונדאי איוניק HYBRID PREMIUM,2019,1580 ליטר בנזין,"98,815",1,אוטומטי,לבן,ליסינג,2 חודשים,"‏1,811 ₪",95900
551,מרצדס GLC COUPE 350E AMG,2021,1991 ליטר חשמל/בנזין,"20,000",1,אוטומטי,לבן,פרטית,1 חודשים,"‏4,731 ₪",480000
552,יונדאי טוסון PRIME,2017,1591 ליטר בנזין,"106,449",1,אוטומטי,לבן,פרטית,3 חודשים,"‏1,604 ₪",93900
553,קיה סורנטו PREMIUM,2016,2359 ליטר בנזין,"125,000",2,אוטומטי,כסף,פרטית,3 חודשים,"‏2,563 ₪",137000
554,קיה סורנטו URBAN,2018,2359 ליטר בנזין,"145,000",1,אוטומטי,לבן,פרטית,3 חודשים,"‏2,019 ₪",138000
555,קיה סורנטו URBAN,2018,2359 ליטר בנזין,"145,000",1,אוטומטי,לבן,פרטית,3 חודשים,"‏2,019 ₪",138000
556,יונדאי טוסון PANORAMIC,2021,1598 ליטר בנזין,"15,086",1,אוטומטי,אפור,ליסינג,6 חודשים,"‏2,417 ₪",164900
557,יונדאי I30 INSPIRE,2010,1591 ליטר בנזין,"143,000",2,אוטומטי,כחול בהיר,ליסינג,5 חודשים,"‏1,262 ₪",26000
558,יונדאי I30 INSPIRE,2010,1591 ליטר בנזין,"143,000",2,אוטומטי,כחול בהיר,ליסינג,5 חודשים,"‏1,262 ₪",26000
559,יונדאי I30 INSPIRE,2010,1591 ליטר בנזין,"143,000",2,אוטומטי,כחול בהיר,ליסינג,5 חודשים,"‏1,262 ₪",26000
560,יונדאי I30 INSPIRE,2010,1591 ליטר בנזין,"143,000",2,אוטומטי,כחול בהיר,ליסינג,5 חודשים,"‏1,262 ₪",26000
561,יונדאי I30 INSPIRE,2010,1591 ליטר בנזין,"143,000",2,אוטומטי,כחול בהיר,ליסינג,5 חודשים,"‏1,262 ₪",26000
562,יונדאי I30 INSPIRE,2012,1591 ליטר בנזין,"205,000",2,אוטומטי,שחור,השכרה,4 חודשים,"‏1,424 ₪",23000
563,פיאט קובו ACTIVE,2015,1368 ליטר בנזין,"149,000",1,ידני,לבן,פרטית,1 חודשים,‏985 ₪,25900
564,מאזדה 6 LUXURY,2018,1998 ליטר בנזין,"136,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",96900
565,מאזדה 6 LUXURY,2018,1998 ליטר בנזין,"136,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",96900
566,מאזדה 6 LUXURY,2018,1998 ליטר בנזין,"136,000",2,אוטומטי,לבן,ליסינג,3 חודשים,"‏2,019 ₪",96900
567,פיג'ו 3008 ACTIVE,2019,1199 ליטר בנזין,"61,697",1,אוטומטי,לבן,ליסינג,1 חודשים,"‏2,130 ₪",110600
568,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"208,699",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,102 ₪",37400
569,מיצובישי אטראז INSTYLE,2016,1193 ליטר בנזין,"208,699",1,אוטומטי,לבן,ליסינג,5 חודשים,"‏1,102 ₪",37400
570,אופל מוקה ENJOY,2015,1364 ליטר בנזין,"53,900",2,אוטומטי,לבן,פרטית,9 חודשים,"‏1,424 ₪",62400
571,רנו קליאו LIFE,2017,1197 ליטר בנזין,"109,846",1,אוטומטי,לבן,השכרה,11 חודשים,"‏1,102 ₪",52500
572,קיה פיקנטו LX,2022,1197 ליטר בנזין,1,1,אוטומטי,אפור,ליסינג,11 חודשים,"‏1,235 ₪",86500
573,סקודה אוקטביה AMBITION,2017,1395 ליטר בנזין,"132,000",2,אוטומטי,אפור כהה מטלי,ליסינג,8 חודשים,"‏1,604 ₪",85000
574,סקודה אוקטביה AMBITION,2017,1395 ליטר בנזין,"132,000",2,אוטומטי,אפור כהה מטלי,ליסינג,8 חודשים,"‏1,604 ₪",85000
575,רנו גראנד קופה INTENSE,2018,1461 ליטר דיזל,"140,000",2,אוטומטי,שחור,ליסינג,4 חודשים,"‏1,604 ₪",90000
576,רנו גראנד קופה INTENSE,2018,1461 ליטר דיזל,"140,000",2,אוטומטי,שחור,ליסינג,4 חודשים,"‏1,604 ₪",90000
577,אאודי Q3,2019,1498 ליטר בנזין,"30,000",1,אוטומטי,לבן,פרטית,8 חודשים,"‏3,366 ₪",219500
578,קיה סיד LX,2015,1591 ליטר בנזין,"193,000",4,אוטומטי,כסף ים,ליסינג,6 חודשים,"‏1,424 ₪",40900
579,מרצדס CLA קלאס CLA200 URBAN FL,2017,1595 ליטר בנזין,"53,000",4,אוטומטי,לבן,פרטית,1 חודשים,"‏2,563 ₪",170000
580,שברולט טרוורס LTZ,2014,3564 ליטר בנזין,"131,000",2,אוטומטי,לבן,פרטית,3 חודשים,"‏2,397 ₪",110000
581,אלפא רומיאו 159 CLASSICOPLUS,2010,2198 ליטר בנזין,"159,000",3,אוטומטי,אפור בהיר מטלי,פרטית,1 חודשים,"‏1,508 ₪",27000
582,קיה ספורטז' URBAN,2019,1591 ליטר בנזין,"64,000",2,אוטומטי,שחור,ליסינג,11 חודשים,"‏1,604 ₪",113000
583,אופל אסטרה ברלינה ENJOY,2014,1364 ליטר בנזין,"222,279",2,אוטומטי,כחול מטאלי,ליסינג,7 חודשים,"‏1,424 ₪",28000
584,אופל אסטרה ברלינה ENJOY,2014,1364 ליטר בנזין,"222,279",2,אוטומטי,כחול מטאלי,ליסינג,7 חודשים,"‏1,424 ₪",28000
585,קיה ספורטז' PREMIUM GT,2016,1591 ליטר בנזין,"93,500",1,אוטומטי,לבן,פרטית,7 חודשים,"‏2,019 ₪",105000
586,סקודה אוקטביה EXCLUSIVE,2019,1498 ליטר בנזין,"38,500",1,אוטומטי,אפור,פרטית,4 חודשים,"‏2,130 ₪",125000
587,סיאט איביזה AM5,2015,1197 ליטר בנזין,"245,000",3,אוטומטי,לבן,ליסינג,9 חודשים,"‏1,205 ₪",29000
588,סיאט איביזה AM5,2015,1197 ליטר בנזין,"245,000",3,אוטומטי,לבן,ליסינג,9 חודשים,"‏1,205 ₪",29000
589,סקודה אוקטביה AMBITION,2018,999 ליטר בנזין,"105,000",1,אוטומטי,אפור,פרטית,5 חודשים,"‏1,604 ₪",94000
590,סקודה אוקטביה EXCLUSIVE,2017,999 ליטר בנזין,"74,000",1,אוטומטי,לבן,פרטית,9 חודשים,"‏1,604 ₪",99000
591,סקודה אוקטביה EXCLUSIVE,2017,999 ליטר בנזין,"74,000",1,אוטומטי,לבן,פרטית,9 חודשים,"‏1,604 ₪",99000
592,סקודה אוקטביה EXCLUSIVE,2017,999 ליטר בנזין,"74,000",1,אוטומטי,לבן,פרטית,9 חודשים,"‏1,604 ₪",99000
593,איסוזו D-Max S,2016,2499 ליטר דיזל,"342,000",1,ידני,לבן,פרטית,5 חודשים,"‏2,019 ₪",127000
594,סיטרואן C4 פיקאסו COMFORT PK,2017,1598 ליטר בנזין,"113,151",1,אוטומטי,אפור,השכרה,1 חודשים,"‏1,604 ₪",73360
595,מיצובישי אאוטלנדר PREMIUM,2016,1998 ליטר בנזין,"180,000",1,אוטומטי,שחור,ליסינג,8 חודשים,"‏2,019 ₪",110000
596,סקודה אוקטביה AMBITION,2018,999 ליטר בנזין,"174,000",1,אוטומטי,כסוף כהה,ליסינג,4 חודשים,"‏1,604 ₪",88000
597,מיצובישי אאוטלנדר INSTYLE,2016,1998 ליטר בנזין,"106,609",1,אוטומטי,לבן,ליסינג,6 חודשים,"‏2,019 ₪",116767
