index,index.1,index.1.1,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine_size,current_mileage,hand,gearBox,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,large,small,mini,medium
70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4285714285714306,0.11783620200491773,0.10251256281407035,1,1,0,0,0,0,1,0.16666666666666669,0.0991950142820047,0.7153700189753323,0,0,0,1
1468,1476,1476,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857224,0.13675052014374883,0.08989547738693467,2,1,0,0,0,0,1,0.25,0.43702934302778496,0.696394686907021,0,0,0,1
1090,1095,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4761904761904816,0.20975978815963686,0.12763819095477386,2,1,0,0,0,0,1,0.0,0.21968319916904702,0.733965844402277,0,0,0,1
479,481,481,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380949,0.21184036315490828,0.005527638190954773,2,1,0,0,0,0,1,0.5833333333333333,0.6455466112698001,0.7559772296015181,0,0,0,1
56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9047619047619122,0.07055040665783999,0.009447236180904522,1,1,0,0,0,0,1,0.16666666666666669,0.09218384835107765,0.3415559772296015,0,0,1,0
1559,1567,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8095238095238102,0.13334594287875923,0.08544723618090452,1,1,0,0,1,0,0,0.7499999999999999,0.18800311607374706,0.6299810246679318,0,0,0,1
1486,1494,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666714,0.09249101569888407,0.10854271356783919,1,1,0,0,1,0,0,0.8333333333333333,0.08439366398338091,0.6091081593927894,0,0,0,1
1419,1427,1427,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2857142857142918,0.5515415169283148,0.23115577889447236,5,1,0,0,0,0,1,0.08333333333333333,0.16307452609711762,0.9358633776091083,1,0,0,0
1451,1459,1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8095238095238102,0.21259693588046152,0.12462311557788944,1,1,0,0,1,0,0,0.0,0.2957673331602181,0.8197343453510437,1,0,0,0
309,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6666666666666714,0.21240779269907323,0.13065326633165827,2,1,0,0,0,0,1,0.25,0.21111399636458064,0.6622390891840608,0,0,0,1
