index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
1583,וולבו XC60 T8 INSCRIPTION,וולבו,2019,1969 ליטר חשמל/בנזין,1969,חשמל/בנזין,"20,000",1,1,שחור,פרטית,11,3357,468.8,289000
1584,מיצובישי אטראז INSTYLE,מיצובישי,2016,1193 ליטר בנזין,1193,בנזין,"197,594",1,1,אפור,ליסינג,4,1102,424.5,36948
1585,פיאט פנדה ONE,פיאט,2017,1242 ליטר בנזין,1242,בנזין,"90,000",1,2,לבן,ליסינג,6,1102,365.3,29800
1586,סקודה סופרב AMBITION,סקודה,2014,1798 ליטר בנזין,1798,בנזין,"175,000",2,1,ברונזה,פרטית,4,1693,483.3,42900
1587,פיג'ו 208 ACCESS,פיג'ו,2016,1199 ליטר בנזין,1199,בנזין,"67,000",2,1,כחול,פרטית,6,1102,397.3,44000
1588,קיה פיקנטו EX,קיה,2017,1248 ליטר בנזין,1248,בנזין,"66,000",2,1,זהב מטאלי,פרטית,5,1102,359.5,65000
1589,לקסוס GS 300H PREMIUM,לקסוס,2014,2494 ליטר בנזין,2494,בנזין,"117,000",3,1,לבן,פרטית,8,2397,485.0,115000
1590,מאזדה 3 SPORT,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"50,000",2,1,לבן,פרטית,4,1811,458.0,100000
1591,סקודה פאביה STYLE,סקודה,2016,1197 ליטר בנזין,1197,בנזין,"95,000",2,1,לבן,פרטית,8,1353,399.2,69900
1592,מאזדה 5 S,מאזדה,2006,1999 ליטר בנזין,1999,בנזין,"230,000",5,1,כחול,פרטית,1,1369,450.5,17000
1593,סקודה אוקטביה ELEGANCE,סקודה,2012,1197 ליטר בנזין,1197,בנזין,"227,000",2,1,פלטינה,ליסינג,8,1424,456.9,29000
1594,סקודה אוקטביה AMBITION,סקודה,2016,1197 ליטר בנזין,1197,בנזין,"160,000",3,1,שחור מטלי,פרטית,8,1604,465.9,64000
1595,ניסאן X TRAIL ACENTA,ניסאן,2018,1598 ליטר דיזל,1598,דיזל,"120,000",2,1,לבן,ליסינג,3,2019,469.0,136500
1596,פולקסווגן גולף GTI,פולקסווגן,2014,1984 ליטר בנזין,1984,בנזין,"154,390",2,1,שחור מטלי,פרטית,4,1962,426.8,120000
1597,יונדאי I30 INSPIRE,יונדאי,2015,1591 ליטר בנזין,1591,בנזין,"195,000",2,1,כסף,ליסינג,12,1424,430.0,45000
1598,פיאט דובלו COMBI,פיאט,2018,1248 ליטר דיזל,1248,דיזל,"104,000",1,2,לבן,ליסינג,2,1604,465.9,55250
1599,יונדאי אלנטרה GL,יונדאי,2016,1591 ליטר בנזין,1591,בנזין,"201,000",1,1,כסף,ליסינג,8,1604,457.0,58000
1600,פורד פומה TITANIUM B/R,פורד,2021,999 ליטר בנזין,999,בנזין,0,1,1,כחול,פרטית,4,1811,457.0,127000
1601,קיה ספורטז' TURBO TOP,קיה,2021,1591 ליטר בנזין,1591,בנזין,0,1,1,לבן,פרטית,6,2130,448.5,162000
1602,שברולט ספארק LT PLUS,שברולט,2021,1399 ליטר בנזין,1399,בנזין,0,1,1,שחור,פרטית,3,1235,365.5,83500
1603,ב.מ.וו X5 XDRIVE45E M-SPORT,ב.מ.וו,2021,2998 ליטר חשמל/בנזין,2998,חשמל/בנזין,0,1,1,אפור מטל,פרטית,10,4731,492.2,635000
1604,רנו פלואנס EX,רנו,2011,1997 ליטר בנזין,1997,בנזין,"205,000",2,1,כחול פחם מטלי,פרטית,1,1262,461.8,16499
1605,ב.מ.וו X7 XDRIVE 30D PURE EXCELLE,ב.מ.וו,2021,2993 ליטר דיזל,2993,דיזל,0,1,1,שחור,פרטית,11,4731,515.1,790000
1606,קיה ספורטז' TURBO TOP,קיה,2021,1591 ליטר בנזין,1591,בנזין,0,1,1,לבן,פרטית,3,2130,448.5,158900
1607,סקודה סופרב STYLE,סקודה,2018,1395 ליטר בנזין,1395,בנזין,"163,000",1,1,כסף מטלי,פרטית,8,2019,486.1,129000
1608,ב.מ.וו סדרה 3 318I BUSINESS,ב.מ.וו,2021,1998 ליטר בנזין,1998,בנזין,0,1,1,שחור,פרטית,1,3366,470.9,239000
1609,ב.מ.וו סדרה 4 420I M-SPORT,ב.מ.וו,2021,1998 ליטר בנזין,1998,בנזין,0,1,1,כחול בהיר,פרטית,2,4731,476.8,430000
1610,ב.מ.וו סדרה 7 740E iPERFORMANCE LUXURY LINE,ב.מ.וו,2019,1998 ליטר חשמל/בנזין,1998,חשמל/בנזין,"47,000",1,1,שן פיל,פרטית,8,4731,476.8,399000
1611,ב.מ.וו סדרה 3 318I BUSINESS,ב.מ.וו,2021,1998 ליטר בנזין,1998,בנזין,0,1,1,לבן,פרטית,10,3366,470.9,254900
1612,ב.מ.וו סדרה 3 318I BUSINESS,ב.מ.וו,2021,1998 ליטר בנזין,1998,בנזין,0,1,1,אחר,פרטית,10,3366,470.9,254900
1613,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"104,670",1,1,כסוף,השכרה,11,1102,397.3,49512
1614,רנו קליאו LIFE,רנו,2016,1197 ליטר בנזין,1197,בנזין,"125,222",1,1,כסוף,השכרה,12,985,406.3,43963
1615,יונדאי I20 INSIGHT,יונדאי,2013,1396 ליטר בנזין,1396,בנזין,"116,000",2,1,לבן,ליסינג,8,985,399.5,36500
1616,מאזדה 3 SPORT,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"44,230",1,1,לבן,ליסינג,11,1604,447.0,105060
1617,אאודי A8 LONG,אאודי,2018,2995 ליטר בנזין,2995,בנזין,"95,000",1,1,לבן,ליסינג,3,3357,530.2,426000
1618,סקודה אוקטביה AMBITION,סקודה,2017,1197 ליטר בנזין,1197,בנזין,"60,000",2,1,שחור,פרטית,11,1604,465.9,84500
1619,קיה פיקנטו LX,קיה,2016,998 ליטר בנזין,998,בנזין,"152,000",2,1,חום בהיר,פרטית,2,1102,359.5,41000
1620,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"117,125",1,1,כחול,השכרה,11,1102,397.3,48040
1621,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"89,262",1,1,שחור,השכרה,12,1102,397.3,50570
1622,סובארו XV CROSSTYLE,סובארו,2021,1995 ליטר בנזין,1995,בנזין,"12,400",1,1,כסוף מטאלי,פרטית,5,2130,446.5,154900
1623,מיני קופר S,מיני,2008,1598 ליטר בנזין,1598,בנזין,"109,178",2,1,כחול מטאלי,פרטית,2,1508,371.4,54900
1624,אאודי Q2,אאודי,2018,1395 ליטר בנזין,1395,בנזין,"139,804",1,1,לבן,פרטית,11,2019,419.1,110900
1625,יונדאי I10 PRIME,יונדאי,2019,1248 ליטר בנזין,1248,בנזין,"160,000",1,1,לבן,ליסינג,11,1102,366.5,57000
1626,מיצובישי אאוטלנדר INSTYLE,מיצובישי,2016,1998 ליטר בנזין,1998,בנזין,"199,000",2,1,לבן,ליסינג,7,2019,469.5,105000
1627,סיטרואן C4 ספייסטורר EXCLUSIVE,סיטרואן,2019,1199 ליטר בנזין,1199,בנזין,"112,763",1,1,לבן,ליסינג,3,2130,469.5,106900
1628,רנו פלואנס AU,רנו,2011,1598 ליטר בנזין,1598,בנזין,"170,000",2,1,כסף מטלי,פרטית,2,1262,461.8,12999
1629,טויוטה אייגו PLUS,טויוטה,2012,998 ליטר בנזין,998,בנזין,"129,000",3,1,אפור,פרטית,9,985,343.0,20000
1630,סקודה אוקטביה AMBITION,סקודה,2017,1395 ליטר בנזין,1395,בנזין,"138,000",2,1,לבן,ליסינג,13,1604,467.0,77400
1631,טויוטה קורולה SUN,טויוטה,2014,1598 ליטר בנזין,1598,בנזין,"152,000",2,1,לבן,ליסינג,7,1424,462.0,50000
1632,ג'יפ קומפאס LIMITED,ג'יפ,2018,1368 ליטר בנזין,1368,בנזין,"60,000",1,1,שחור מטלי,פרטית,6,2019,465.9,149000
1633,טויוטה קורולה SUN,טויוטה,2016,1598 ליטר בנזין,1598,בנזין,"112,000",3,1,כסוף בהיר,ליסינג,6,1604,462.0,68000
1634,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"120,000",2,1,כסף,פרטית,1,1604,447.0,93000
1635,אאודי S3,אאודי,2016,1984 ליטר בנזין,1984,בנזין,"70,000",3,1,לבן,פרטית,1,3357,425.4,160000
1636,קיה נירו EX,קיה,2018,1580 ליטר בנזין,1580,בנזין,"115,159",1,1,לבן,ליסינג,9,1604,435.5,102760
1637,טויוטה יאריס HYBRID,טויוטה,2015,1497 ליטר בנזין,1497,בנזין,"91,000",1,1,אפור,פרטית,10,1205,395.0,76000
1638,קיה סורנטו URBAN,קיה,2020,2359 ליטר בנזין,2359,בנזין,"32,154",1,1,אפור,ליסינג,6,3366,480.0,192900
1639,קיה פיקנטו SPORT,קיה,2015,1248 ליטר בנזין,1248,בנזין,"71,000",3,2,אדום,פרטית,5,985,359.5,38500
1640,מאזדה CX-5 EXECUTIVE,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"98,000",1,1,שחור,פרטית,2,2417,455.0,122000
1641,סקודה פאביה AMBITION,סקודה,2018,999 ליטר בנזין,999,בנזין,"108,000",2,1,שחור,ליסינג,8,1102,399.2,74000
1642,סקודה אוקטביה AMBITION,סקודה,2018,1498 ליטר בנזין,1498,בנזין,"127,000",2,1,כסוף בהיר,ליסינג,8,1604,467.0,108000
1643,סקודה אוקטביה AMBITION,סקודה,2018,1498 ליטר בנזין,1498,בנזין,"125,000",2,1,כסוף בהיר,ליסינג,8,1604,467.0,108000
1644,מאזדה 6 PREMIUM,מאזדה,2015,2488 ליטר בנזין,2488,בנזין,"170,000",3,1,שחור,פרטית,7,1693,487.0,82000
1645,קיה פיקנטו LX,קיה,2016,1248 ליטר בנזין,1248,בנזין,"90,000",2,1,כסוף כהה,ליסינג,2,1102,359.5,47000
1646,סיאט איביזה STYLE,סיאט,2015,999 ליטר בנזין,999,בנזין,"80,000",2,1,חום,פרטית,9,985,404.3,50000
1647,יונדאי טוסון PREMIUM,יונדאי,2017,1999 ליטר בנזין,1999,בנזין,"115,000",1,1,כסף מטלי,ליסינג,5,1835,447.5,104000
1648,טויוטה C-HR HYBRID CLUB,טויוטה,2019,1798 ליטר בנזין,1798,בנזין,"78,000",1,1,אפור כהה מטלי,ליסינג,11,1604,436.0,133999
1649,פורד אקספלורר LUXURY,פורד,2019,3497 ליטר בנזין,3497,בנזין,"44,000",1,1,שחור,פרטית,11,3357,501.3,270000
1650,מאזדה 2 PURE WHITE,מאזדה,2018,1496 ליטר בנזין,1496,בנזין,"20,000",1,1,שחור,פרטית,5,1353,406.0,75000
1651,טויוטה היילקס SR,טויוטה,2006,2494 ליטר דיזל,2494,דיזל,"620,000",3,2,לבן,חברה,6,1427,491.5,47000
1652,סקודה קארוק AMBITION,סקודה,2019,1498 ליטר בנזין,1498,בנזין,"105,085",1,1,אפור מטאלי,ליסינג,1,2130,438.2,118900
1653,יונדאי IX35 OPEN SKY,יונדאי,2015,1999 ליטר בנזין,1999,בנזין,"170,000",1,1,לבן,ליסינג,3,1693,441.0,74900
1654,אאודי A1,אאודי,2016,999 ליטר בנזין,999,בנזין,"136,000",3,1,לבן,השכרה,6,1604,441.0,77000
1655,קיה ריו EX,קיה,2010,1399 ליטר בנזין,1399,בנזין,"200,000",2,1,לבן,ליסינג,10,1074,424.0,18000
1656,אאודי Q3 ADVANCE TECH,אאודי,2021,1984 ליטר בנזין,1984,בנזין,200,1,1,שחור,פרטית,6,3366,448.4,275000
1657,פיג'ו 508 ACCESS,פיג'ו,2011,1598 ליטר בנזין,1598,בנזין,"120,000",3,1,תכלת מטאלי,פרטית,5,1427,479.2,17900
1658,ביואיק לוצרן CXL PLUS,ביואיק,2007,3791 ליטר בנזין,3791,בנזין,"253,000",5,1,זהוב,פרטית,3,1508,516.1,20900
1659,טויוטה פריוס ACTIVE,טויוטה,2020,1798 ליטר בנזין,1798,בנזין,"44,091",1,1,כסוף,ליסינג,9,2130,457.5,123640
1660,סיאט איביזה SPORT,סיאט,2011,1197 ליטר בנזין,1197,בנזין,"190,000",4,2,צהוב חזק,לימוד נהיגה,10,1074,405.2,26000
1661,סובארו XV NEW CLASSIC,סובארו,2019,1600 ליטר בנזין,1600,בנזין,"140,000",2,1,לבן,ליסינג,11,1604,446.5,85000
1662,אינפיניטי FX37 GT,אינפיניטי,2013,3696 ליטר בנזין,3696,בנזין,"124,000",3,1,אפור מטל,פרטית,3,2397,486.5,119900
1663,אאודי A4,אאודי,2009,1798 ליטר בנזין,1798,בנזין,"155,000",5,1,שחור,פרטית,2,1508,470.3,54000
1664,אאודי A4,אאודי,2009,1798 ליטר בנזין,1798,בנזין,"180,000",5,1,לבן,פרטית,11,1508,470.3,50000
1665,רנו קנגו AUTHENTIC,רנו,2017,1197 ליטר בנזין,1197,בנזין,"161,000",1,1,לבן,ממשלתי,6,1604,428.2,51000
1666,טויוטה יאריס SOL,טויוטה,2001,1299 ליטר בנזין,1299,בנזין,"261,000",1,1,כחול,פרטית,1,1074,361.5,12000
1667,טויוטה קורולה GLI,טויוטה,2018,1598 ליטר בנזין,1598,בנזין,"90,000",2,1,שחור מטלי,ליסינג,6,1604,462.0,87000
1668,סיטרואן C4 פיקאסו COMFORT PK,סיטרואן,2017,1598 ליטר בנזין,1598,בנזין,"130,478",1,1,שחור,השכרה,1,1604,442.8,67078
1669,אאודי Q5 EXECUTIVE,אאודי,2012,1984 ליטר בנזין,1984,בנזין,"104,000",2,1,כסף,פרטית,8,2397,462.9,79000
1670,סיטרואן ברלינגו COMFORT PLUS,סיטרואן,2019,1560 ליטר דיזל,1560,דיזל,"118,000",1,2,לבן,השכרה,1,1811,438.0,73000
1671,רנו טראפיק VAN L1H1,רנו,2022,1997 ליטר דיזל,1997,דיזל,0,1,1,לבן,חברה,11,3366,438.0,235000
1672,שברולט טראקס LT,שברולט,2015,1364 ליטר בנזין,1364,בנזין,"112,000",4,1,לבן,פרטית,1,1584,424.7,49900
1673,אאודי A3 SPORTBACK E-TRON LUXURY,אאודי,2018,1395 ליטר חשמל/בנזין,1395,חשמל/בנזין,"66,000",1,1,כסוף בהיר,פרטית,1,2563,431.1,162000
1674,פורד גלאקסי TREND,פורד,2013,1999 ליטר בנזין,1999,בנזין,"170,000",2,1,לבן,ליסינג,6,1693,482.0,29900
1675,איסוזו D-Max S,איסוזו,2016,2499 ליטר דיזל,2499,דיזל,"159,000",2,2,לבן,פרטית,4,2563,529.5,144500
1676,טויוטה היילקס VIGO S,טויוטה,2007,2494 ליטר דיזל,2494,דיזל,"461,000",1,2,לבן,פרטית,11,1427,525.5,49000
1677,קיה ספורטז' URBAN,קיה,2017,1999 ליטר בנזין,1999,בנזין,"81,000",1,1,אפור,פרטית,2,1835,448.0,114000
1678,קיה ספורטז' URBAN,קיה,2017,1999 ליטר בנזין,1999,בנזין,"33,000",1,1,שחור,פרטית,3,1835,448.0,119000
1679,ג'יפ צ'ירוקי LONGITUDE,ג'יפ,2017,2360 ליטר בנזין,2360,בנזין,"145,000",3,1,שחור מטלי,פרטית,3,2563,462.3,101900
1680,סיאט איביזה FR,סיאט,2015,1197 ליטר בנזין,1197,בנזין,"112,000",4,1,לבן,פרטית,3,1205,404.3,55000
1681,סוזוקי ויטארה GLX,סוזוקי,2019,1373 ליטר בנזין,1373,בנזין,"61,000",2,1,אפור כחול מטלי,פרטית,3,1811,417.5,113000
1682,מאזדה CX-5 EXECUTIVE,מאזדה,2014,1998 ליטר בנזין,1998,בנזין,"130,000",1,1,לבן,פרטית,2,1693,455.5,83999
1683,קיה פיקנטו LX,קיה,2019,1248 ליטר בנזין,1248,בנזין,"68,000",2,1,לבן,השכרה,1,1235,359.5,60000
1684,רנו פלואנס PRIVELEGE,רנו,2016,1461 ליטר דיזל,1461,דיזל,"211,000",1,1,לבן,ליסינג,7,1604,461.3,42000
1685,טויוטה קורולה SUN,טויוטה,2016,1598 ליטר בנזין,1598,בנזין,"130,000",2,1,שחור מטלי,פרטית,6,1604,462.0,71900
1686,יונדאי I10 PRIME,יונדאי,2019,1248 ליטר בנזין,1248,בנזין,"73,028",1,1,כסוף,השכרה,11,1102,366.5,70840
1687,מיצובישי אטראז INSTYLE,מיצובישי,2016,1193 ליטר בנזין,1193,בנזין,"165,192",1,1,לבן,ליסינג,4,1102,424.5,40013
1688,אאודי SQ5 LUXURY,אאודי,2018,2995 ליטר בנזין,2995,בנזין,"80,000",3,1,אפור כהה מטלי,פרטית,2,3357,424.5,380000
1689,אלפא רומיאו ג'וליטה COMPETIZIONE,אלפא,2016,1368 ליטר בנזין,1368,בנזין,"83,400",2,1,שחור,פרטית,9,2019,435.1,78400
1690,פורשה מקאן S DIESEL ORCHID PACK,פורשה,2016,2967 ליטר דיזל,2967,דיזל,"145,000",1,1,כסף,פרטית,3,3357,435.1,272000
1691,טויוטה קורולה SUN,טויוטה,2020,1798 ליטר בנזין,1798,בנזין,"61,430",1,1,תכלת מטאלי,ליסינג,11,1811,463.0,116900
1692,ג'יפ רנגלר SPORT,ג'יפ,2010,3778 ליטר בנזין,3778,בנזין,"196,000",5,1,שחור,פרטית,5,1508,422.3,165900
1693,סיטרואן C5 DYNAMIC,סיטרואן,2011,1598 ליטר בנזין,1598,בנזין,"89,000",3,1,לבן,פרטית,1,1427,477.9,25000
1694,מיצובישי אאוטלנדר INSTYLE,מיצובישי,2018,1998 ליטר בנזין,1998,בנזין,"100,000",1,1,שחור מטלי,ליסינג,9,2019,469.5,128900
1695,סיאט מי STYLE,סיאט,2012,999 ליטר בנזין,999,בנזין,"94,000",4,1,אפור פלדה,פרטית,9,985,469.5,19900
1696,ביואיק לקרוס CXL,ביואיק,2010,3000 ליטר בנזין,3000,בנזין,"230,000",6,1,זהב,פרטית,4,1508,500.1,35000
1697,מיצובישי אקליפס קרוס INSTYLE,מיצובישי,2018,1499 ליטר בנזין,1499,בנזין,"82,240",1,1,אפור,ליסינג,3,1835,440.5,112000
1698,רנו קליאו EXTREME,רנו,2011,1149 ליטר בנזין,1149,בנזין,"166,000",2,2,שחור,פרטית,5,880,398.6,14900
1699,קיה ספורטז' URBAN,קיה,2019,1999 ליטר בנזין,1999,בנזין,"35,000",1,1,כחול בהיר,פרטית,2,2130,448.5,125000
1700,סיאט לאון FR,סיאט,2015,1798 ליטר בנזין,1798,בנזין,"140,000",1,1,שחור מטלי,פרטית,3,1693,423.6,94999
1701,מאזדה 3 ACTIVE,מאזדה,2016,1496 ליטר בנזין,1496,בנזין,"105,000",1,1,אפור מטאלי,פרטית,3,1604,458.5,69500
1702,סקודה אוקטביה AMBITION,סקודה,2019,999 ליטר בנזין,999,בנזין,"94,251",1,1,אפור,ליסינג,5,1811,458.5,99010
1703,פיאט 500 LOUNGE,פיאט,2011,1368 ליטר בנזין,1368,בנזין,"133,000",6,1,שחור,פרטית,1,1262,355.0,28000
1704,קיה פורטה LX,קיה,2015,1591 ליטר בנזין,1591,בנזין,"160,000",1,1,לבן,פרטית,5,1424,456.0,53000
1705,קיה נירו EX,קיה,2017,1580 ליטר בנזין,1580,בנזין,"118,000",1,1,אדום,השכרה,1,1604,435.5,86000
1706,טויוטה אוריס HYBRID SKY TSS,טויוטה,2018,1798 ליטר בנזין,1798,בנזין,"137,201",1,1,אדום מטאלי,ליסינג,2,1604,472.0,78000
1707,סקודה אוקטביה AMBITION,סקודה,2019,1498 ליטר בנזין,1498,בנזין,"201,000",1,1,לבן,ליסינג,2,1811,467.0,84000
1708,ב.מ.וו סדרה 1 118I LUXURY,ב.מ.וו,2014,1598 ליטר בנזין,1598,בנזין,"99,000",4,1,לבן,פרטית,3,1962,432.4,95000
1709,סוזוקי איגניס GLX HYBRID,סוזוקי,2020,1197 ליטר בנזין,1197,בנזין,"25,800",1,1,אפור,פרטית,9,1235,370.0,89500
1710,קיה פיקנטו LX,קיה,2019,1248 ליטר בנזין,1248,בנזין,"67,684",1,1,לבן,השכרה,2,1235,359.5,74953
1711,יונדאי איוניק HYBRID PREMIUM,יונדאי,2018,1580 ליטר בנזין,1580,בנזין,"120,000",1,1,אפור בהיר מטלי,ליסינג,4,1604,447.0,86500
1712,סיטרואן C4 פיקאסו EXCLUSIVE,סיטרואן,2014,1598 ליטר בנזין,1598,בנזין,"187,000",2,1,אפור כהה,ליסינג,8,1693,448.0,45000
1713,אאודי A3,אאודי,2017,1395 ליטר בנזין,1395,בנזין,"115,000",3,1,לבן,פרטית,8,2563,442.3,155000
1714,אאודי TT COUPE DESIGN,אאודי,2019,1984 ליטר בנזין,1984,בנזין,"28,000",3,1,שחור,פרטית,7,3366,417.7,207000
1715,סקודה ראפיד AMBITION,סקודה,2017,999 ליטר בנזין,999,בנזין,"140,000",1,1,לבן,ליסינג,8,1353,448.3,59900
1716,יונדאי I20 GLI,יונדאי,2010,1396 ליטר בנזין,1396,בנזין,"180,000",5,1,בז,ליסינג,4,1074,394.0,22000
1717,שברולט אורלנדו LT PLUS,שברולט,2013,1998 ליטר דיזל,1998,דיזל,"201,000",3,1,בז מטאלי,פרטית,1,1693,465.2,33900
1718,סקודה אוקטביה AMBIENTE,סקודה,2012,1197 ליטר בנזין,1197,בנזין,"206,000",2,1,פלטינה,ליסינג,10,1424,456.9,25000
1719,פיאט פולבק STYLE,פיאט,2017,2442 ליטר דיזל,2442,דיזל,"126,000",2,1,לבן,השכרה,1,2563,528.5,125000
1720,הונדה סיוויק COMFORT,הונדה,2017,1798 ליטר בנזין,1798,בנזין,"85,000",2,1,כסף,פרטית,3,1604,437.0,79900
1721,טויוטה קאמרי HYBRID LE PLUS,טויוטה,2019,2487 ליטר בנזין,2487,בנזין,"60,718",1,1,לבן,ליסינג,8,2417,488.5,135000
1722,קיה ספורטז' URBAN,קיה,2017,1591 ליטר בנזין,1591,בנזין,"158,000",2,1,שחור פנינה,ליסינג,3,1604,448.0,89900
1723,ב.מ.וו סדרה 1 118I STYLE PLAY,ב.מ.וו,2021,1499 ליטר בנזין,1499,בנזין,"4,900",1,1,לבן,פרטית,6,2417,431.9,189000
1724,מרצדס S קלאס S500 LONG VISION,מרצדס,2014,4663 ליטר בנזין,4663,בנזין,"150,000",4,1,לבן,פרטית,2,2397,524.6,295000
1725,מאזדה 3 PREMIUM,מאזדה,2018,1998 ליטר בנזין,1998,בנזין,"57,300",1,1,שחור,פרטית,2,1604,458.0,102500
1726,מאזדה 3,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"22,500",1,1,לבן,פרטית,8,2130,458.0,122500
1727,סקודה אוקטביה AMBITION,סקודה,2015,1197 ליטר בנזין,1197,בנזין,"156,000",3,1,אפור כהה מטלי,ליסינג,2,1424,465.9,57000
1728,רנו קליאו LIFE,רנו,2017,1197 ליטר בנזין,1197,בנזין,"122,848",1,1,לבן,ליסינג,7,1102,406.3,53358
1729,סובארו פורסטר X,סובארו,2013,1995 ליטר בנזין,1995,בנזין,"166,500",1,1,לבן,פרטית,7,1693,459.5,80400
1730,שברולט ספארק PREMIER,שברולט,2019,1399 ליטר בנזין,1399,בנזין,"30,000",2,1,כסף,פרטית,4,1235,365.5,63000
1731,סקודה סופרב AMBITION,סקודה,2021,1984 ליטר בנזין,1984,בנזין,"12,600",2,1,כסף מטלי,ליסינג,3,2417,486.9,180400
1732,שברולט טרוורס LS,שברולט,2013,3564 ליטר בנזין,3564,בנזין,"200,000",1,1,אפור כחול מטלי,ליסינג,9,1962,517.4,59900
1733,מאזדה 3 PREMIUM,מאזדה,2019,1998 ליטר בנזין,1998,בנזין,"34,700",1,1,לבן,פרטית,11,1835,458.0,110500
1734,מאזדה CX-5 EXECUTIVE,מאזדה,2020,1998 ליטר בנזין,1998,בנזין,"31,000",1,1,לבן,פרטית,4,2417,455.0,169900
1735,טויוטה יאריס STYLE,טויוטה,2019,1496 ליטר בנזין,1496,בנזין,"71,000",1,1,ברונזה,השכרה,1,1529,394.5,78000
1736,פולקסווגן גולף TRENDLINE,פולקסווגן,2017,1395 ליטר בנזין,1395,בנזין,"130,000",1,1,אפור,פרטית,3,1604,425.5,79000
1737,פיאט טיפו COMFORT,פיאט,2017,1598 ליטר בנזין,1598,בנזין,"118,000",2,1,אפור כהה מטלי,פרטית,2,1353,453.2,38900
1738,קיה ספורטז' URBAN,קיה,2015,1591 ליטר בנזין,1591,בנזין,"141,000",2,1,בז מטאלי,פרטית,7,1424,444.0,67000
1739,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"80,500",1,1,אפור,השכרה,7,1102,397.3,47000
1740,מאזדה 3 ACTIVE,מאזדה,2014,1496 ליטר בנזין,1496,בנזין,"173,000",2,1,אפור,ליסינג,8,1424,446.5,51000
1741,סקודה אוקטביה AMBITION,סקודה,2018,1498 ליטר בנזין,1498,בנזין,"76,500",1,1,אפור מטל,פרטית,9,1604,467.0,101900
1742,סיאט לאון FR,סיאט,2014,1798 ליטר בנזין,1798,בנזין,"121,384",2,1,שחור מטלי,פרטית,9,1693,427.1,88000
1743,איסוזו D-Max LS PREMIUM,איסוזו,2021,1898 ליטר דיזל,1898,דיזל,0,1,1,כסף,חברה,8,3366,526.5,286900
1744,רנו קנגו AUTHENTIC,רנו,2018,1197 ליטר בנזין,1197,בנזין,"116,000",1,1,לבן,ליסינג,4,1604,428.2,68000
1745,ג'יפ רנגלר SPORT,ג'יפ,2015,3604 ליטר בנזין,3604,בנזין,"56,500",3,1,לבן,פרטית,10,1962,422.3,269999
1746,פיאט 500 1.2 MY LOUNGE,פיאט,2014,1242 ליטר בנזין,1242,בנזין,"66,000",3,1,לבן,פרטית,9,1205,354.6,42000
1747,סקודה אוקטביה ELEGANCE,סקודה,2015,1395 ליטר בנזין,1395,בנזין,"186,000",1,1,כסף מטלי,פרטית,2,1584,465.9,55000
1748,מרצדס A קלאס A180 STYLE,מרצדס,2013,1595 ליטר בנזין,1595,בנזין,"100,000",1,1,לבן,פרטית,6,1693,429.2,83500
1749,ב.מ.וו iX3 IMPRESSIVE,ב.מ.וו,2021,חשמלי,חשמלי,,0,1,1,אפור כחול מטלי,פרטית,4,4731,429.2,399000
1750,קאדילאק SRX LUXURY,קאדילאק,2013,3564 ליטר בנזין,3564,בנזין,"165,000",4,1,פלטינה,פרטית,1,2397,483.4,70000
1751,קאדילאק ATS PREMIUM,קאדילאק,2019,1998 ליטר בנזין,1998,בנזין,"81,000",1,1,אפור מטל,פרטית,11,3357,464.3,183000
1752,שברולט מאליבו LT LUXURY,שברולט,2010,3500 ליטר בנזין,3500,בנזין,"110,000",3,1,שחור מטלי,פרטית,4,1427,487.2,21999
1753,רנו קפצ'ור ZEN,רנו,2019,1461 ליטר דיזל,1461,דיזל,"67,000",1,1,אפור מטל,ליסינג,11,1604,412.2,88000
1754,סקודה אוקטביה AMBITION,סקודה,2016,1197 ליטר בנזין,1197,בנזין,"259,000",1,1,לבן,ליסינג,3,1604,465.9,52000
1755,ב.מ.וו X2 XDRIVE 25E M SPORT,ב.מ.וו,2021,1499 ליטר חשמל/בנזין,1499,חשמל/בנזין,0,1,1,לבן,פרטית,6,4731,436.0,290000
1756,קיה פיקנטו SPORT,קיה,2013,1248 ליטר בנזין,1248,בנזין,"120,000",3,2,לבן,פרטית,5,985,359.5,29500
1757,מיצובישי אטראז INSTYLE,מיצובישי,2016,1193 ליטר בנזין,1193,בנזין,"194,715",1,1,אפור,ליסינג,4,1102,424.5,36948
1758,אאודי Q2 DSN LUX AST,אאודי,2020,1498 ליטר בנזין,1498,בנזין,"35,000",1,1,כסף מטלי,פרטית,10,3366,419.1,169000
