index,version,CompanyName,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,next_test_in,annual_licensing_fee,car_length,price
70,סובארו אימפרזה B3 RX,סובארו,2010,1498 ליטר בנזין,1498,בנזין,"102,000",1,1,אפור מטל,פרטית,3,1262,458.0,24500
71,פיג'ו 208 ACCESS,פיג'ו,2017,1199 ליטר בנזין,1199,בנזין,"94,000",1,1,לבן,השכרה,11,1102,397.3,44000
72,ניסאן ג'וק ACENTA-TECK,ניסאן,2020,999 ליטר בנזין,999,בנזין,"12,000",1,1,אדום מטל,פרטית,9,1811,421.0,112900
73,קיה סורנטו URBAN,קיה,2019,2359 ליטר בנזין,2359,בנזין,"23,000",1,1,שחור,פרטית,11,2019,480.0,169900
74,טויוטה יאריס HYBRID ECO,טויוטה,2020,1490 ליטר בנזין,1490,בנזין,"12,000",2,1,אפור כהה,פרטית,9,1529,394.0,109000
75,מיצובישי ספייס סטאר INSTYLE,מיצובישי,2020,1193 ליטר בנזין,1193,בנזין,"15,576",1,1,אפור,פרטית,6,1235,384.5,74900
76,יונדאי טוסון OPEN SKY,יונדאי,2017,1999 ליטר בנזין,1999,בנזין,"70,000",2,1,לבן,פרטית,1,2019,447.5,115000
77,ניסאן קשקאי ACENTA TOP,ניסאן,2020,1461 ליטר דיזל,1461,דיזל,"40,000",1,1,שחור,פרטית,9,2130,439.4,135000
78,סוזוקי ליאנה GLS-CD,סוזוקי,2007,1586 ליטר בנזין,1586,בנזין,"180,000",2,1,לבן,פרטית,1,1074,423.0,17000
79,סקודה קארוק AMBITION,סקודה,2019,999 ליטר בנזין,999,בנזין,"31,000",2,1,אפור פלדה,פרטית,11,1604,438.2,113000
80,סוזוקי SX4 GLA,סוזוקי,2009,1586 ליטר בנזין,1586,בנזין,"220,000",2,1,זהב,פרטית,1,1074,411.5,14999
81,מיצובישי ספייס סטאר SUPREME,מיצובישי,2021,1193 ליטר בנזין,1193,בנזין,0,1,1,שחור,חברה,9,1235,384.5,80000
82,קיה פיקנטו X-LINE,קיה,2020,1248 ליטר בנזין,1248,בנזין,"16,845",1,1,אדום,פרטית,3,1235,359.5,84900
83,יונדאי טוסון PRIME PLUS,יונדאי,2018,1999 ליטר בנזין,1999,בנזין,"73,000",2,1,לבן,ליסינג,7,1835,447.5,120000
84,שברולט טראקס LT,שברולט,2016,1364 ליטר בנזין,1364,בנזין,"64,000",2,1,לבן,פרטית,6,1604,424.7,69900
85,סוזוקי איגניס GLX,סוזוקי,2017,1242 ליטר בנזין,1242,בנזין,"41,000",1,1,כחול בהיר,פרטית,4,1102,370.0,62000
86,קיה פיקנטו LX,קיה,2017,1248 ליטר בנזין,1248,בנזין,"50,000",2,1,כסף,פרטית,8,1102,359.5,55000
