index,version,CompanyName,year,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium
746,הונדה HR-V COMFORT,הונדה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1498 ליטר בנזין,1498,בנזין,108453,1,1,אפור מטאלי,פרטית,0,0,0,0,1,10,1604,429.4,medium,0,0,0,1
2183,סיטרואן C4 פיקאסו COMFORT PK,סיטרואן,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598 ליטר בנזין,1598,בנזין,140713,1,1,לבן,השכרה,0,1,0,0,0,1,1604,442.8,medium,0,0,0,1
291,שברולט ספארק LT,שברולט,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1399 ליטר בנזין,1399,בנזין,83000,3,1,שחור מטלי,פרטית,0,0,0,0,1,1,1102,363.6,mini,0,0,1,0
781,מאזדה 3 SPORT,מאזדה,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1998 ליטר בנזין,1998,בנזין,66879,2,1,כסף,פרטית,0,0,0,0,1,11,1604,458.0,medium,0,0,0,1
2290,פיאט טיפו COMFORT,פיאט,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1598 ליטר בנזין,1598,בנזין,100000,1,1,לבן,ליסינג,0,0,1,0,0,3,1353,457.1,medium,0,0,0,1
322,אאודי Q5 LUXURY TPACK,אאודי,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984 ליטר בנזין,1984,בנזין,28000,1,1,כסף,פרטית,0,0,0,0,1,2,3357,466.3,medium,0,0,0,1
298,פיג'ו 2008 ACTIVE GO,פיג'ו,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199 ליטר בנזין,1199,בנזין,119000,1,1,אפור כהה,ליסינג,0,0,1,0,0,1,1353,415.9,small,0,1,0,0
1299,ג'יפ גראנד צ'ירוקי LIMITED,ג'יפ,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987 ליטר דיזל,2987,דיזל,190000,2,1,אפור מטל,פרטית,0,0,0,0,1,11,2397,482.8,large,1,0,0,0
194,פיג'ו 208 ACTIVE,פיג'ו,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199 ליטר בנזין,1199,בנזין,12000,1,1,לבן,פרטית,0,0,0,0,1,5,1529,397.3,small,0,1,0,0
63,קיה פיקנטו GT LINE,קיה,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1248 ליטר בנזין,1248,בנזין,50000,2,1,אדום שחור,פרטית,0,0,0,0,1,1,1235,359.5,mini,0,0,1,0
