index,version,CompanyName,is_GAC,is_maserati,is_daihatsu,is_porsche,is_ds,is_smart,is_seres,is_cadillac,is_דודג',is_infinity,is_alfa-romeo,is_buick,is_sangiang,is_mini,is_dacia,is_landrover,is_volvo,is_chrysler,is_opel,is_isuzu,is_mercedes,is_lexus,is_audi,is_citroen,is_bmw,is_mitsubishi,is_subaru,is_ford,is_jeep,is_volkswagen,is_suzuki,is_peugeot,is_reno,is_tesla,is_nissan,is_chevrolet,is_mazda,is_skoda,is_MG,is_hyundai,is_siat,is_fiat,is_honda,is_kia,is_toyota,is_cupra,year,engine,engine_size,engine_type,current_mileage,hand,gearBox,color,original_onership,is_private_import,is_rented,is_leasing,is_company,is_private,next_test_in,annual_licensing_fee,car_length,size,large,small,mini,medium,price
2001,פיג'ו 3008 PREMIUM,פיג'ו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1598 ליטר בנזין,1598,בנזין,168000,2,1,לבן,פרטית,0,0,0,0,1,5,1604,436.5,medium,0,0,0,1,35000
1350,טויוטה אוריס HYBRID TS,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,1798 ליטר בנזין,1798,בנזין,155000,2,1,לבן,ליסינג,0,0,1,0,0,7,1604,459.5,medium,0,0,0,1,64900
1012,מיצובישי אקליפס קרוס,מיצובישי,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1499 ליטר בנזין,1499,בנזין,49000,2,1,כסף מטלי,פרטית,0,0,0,0,1,3,2130,440.5,medium,0,0,0,1,110000
2825,סיאט אטקה,סיאט,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,1395 ליטר בנזין,1395,בנזין,120000,1,1,כסוף כהה מטלי,פרטית,0,0,0,0,1,5,1604,436.3,medium,0,0,0,1,109999
1180,איסוזו D-Max LS,איסוזו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,2499 ליטר דיזל,2499,דיזל,380000,1,1,לבן,חברה,0,0,0,1,0,6,1962,529.5,large,1,0,0,0,118000
1903,ב.מ.וו סדרה 1 118I STYLE PLAY,ב.מ.וו,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1499 ליטר בנזין,1499,בנזין,0,1,1,שחור,פרטית,0,0,0,0,1,11,2417,390.0,small,0,1,0,0,206000
2630,הונדה ג'אז COMFORT,הונדה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,1318 ליטר בנזין,1318,בנזין,40000,1,1,שחור מטלי,פרטית,0,0,0,0,1,2,1353,399.5,small,0,1,0,0,86500
1649,פורד אקספלורר LUXURY,פורד,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,3497 ליטר בנזין,3497,בנזין,44000,1,1,שחור,פרטית,0,0,0,0,1,11,3357,501.3,large,1,0,0,0,270000
2135,טויוטה היילקס ADVENTURE,טויוטה,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,2755 ליטר דיזל,2755,דיזל,1,1,1,לבן,פרטית,0,0,0,0,1,10,3366,476.0,large,1,0,0,0,310000
2828,יונדאי טוסון ELITE,יונדאי,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,1999 ליטר בנזין,1999,בנזין,33800,1,1,בז מטאלי,פרטית,0,0,0,0,1,11,2019,448.0,medium,0,0,0,1,137500
