index,price
2251,39000
2341,119000
2576,115900
1760,295000
295,52500
712,49512
72,112900
1954,93000
2270,29000
2562,17000
2886,250000
481,279000
2219,115000
1530,264355
2040,91000
1514,137900
2962,419000
1490,88900
1171,24900
2453,55900
1995,34390
2687,250000
2447,191124
2272,460000
405,195000
757,115000
2412,301500
2185,29500
2424,239900
97,42900
1333,28990
2390,69000
743,126900
806,33999
2770,53000
1898,98000
2500,25000
1535,126900
2051,23900
2012,35000
148,109900
2211,48900
2054,130900
1904,123000
1315,500000
692,42000
818,97000
1728,53358
1386,229000
2282,49120
2057,108900
1599,58000
2362,148990
2458,39000
701,351000
1880,50000
2657,178000
921,71900
1424,76500
1708,95000
905,113900
454,109900
2512,850000
2852,20000
2240,215000
167,46000
730,86900
2159,35000
1310,155000
26,133500
1991,27000
1652,118900
1622,154900
587,64900
2018,59000
997,34000
1176,134990
1700,94999
1040,65000
33,88000
1811,80000
2369,75000
1379,144900
41,121000
1793,55000
2190,279000
2607,67000
2584,43930
1812,145000
2768,80000
609,114900
1132,39500
28,139000
441,74900
2367,54000
2161,173900
493,109000
1258,128000
1301,219900
2540,59000
2366,122000
1382,25000
1304,95900
236,70000
551,129000
520,89250
2218,60000
1232,278000
1138,19000
720,91000
735,60900
2654,62000
1750,70000
58,67900
631,98000
1181,23999
2204,83900
592,116900
1303,95900
1387,105000
2616,51900
2631,83600
1847,43000
939,101000
2789,44900
1249,90000
904,51900
2666,21000
1279,66900
2403,22500
2880,99000
2127,49500
2548,42545
2044,138500
1142,121900
2382,93551
706,192900
2642,40000
1022,36900
745,49900
1546,44900
2358,168000
2140,32000
513,48000
81,80000
2662,63000
1308,70000
2496,92000
914,114900
1404,57000
1647,104000
2761,29990
1108,84000
150,17000
2727,100000
774,100000
329,132000
6,72900
943,95000
822,119990
734,129900
909,94900
468,92000
181,149000
164,1030000
1523,85900
451,86900
490,100000
2656,165000
1143,24999
1311,285000
2243,17200
1111,232000
2855,28999
1979,89500
1441,45000
1891,48100
1006,39000
1627,106900
1632,149000
1074,40000
578,46900
2102,15500
2346,95000
2488,71642
2303,90000
327,215000
1790,101500
442,36900
1858,349000
2171,450000
1983,68000
832,68900
2375,39000
2104,72000
1414,85000
1201,30000
2315,499000
1499,120000
1889,175000
86,55000
1403,26000
2927,72852
1481,122382
777,590000
799,128500
1666,12000
54,105000
2952,113500
1287,55000
1667,87000
2587,116900
2155,85770
1701,69500
1245,52900
113,284900
2807,125000
987,145000
501,47000
2153,80000
1009,129000
1198,598000
1394,106770
589,109900
768,20000
17,83000
1042,161000
1447,60000
2464,131900
285,95000
